Stock,Date,Prediction Date,Infered Close
MSFT,23/05/2024,30/5/2024,426.769989
NVDA,23/05/2024,30/5/2024,952.0
AAPL,22/05/2024,29/5/2024,190.809998
AMD,22/05/2024,29/5/2024,169.720001
AMZN,22/05/2024,29/5/2024,185.300003
GOOG,22/05/2024,29/5/2024,177.494995
META,22/05/2024,29/5/2024,472.799988
MSFT,22/05/2024,29/5/2024,422.920013
NVDA,22/05/2024,29/5/2024,947.400024
AAPL,20/05/2024,27/5/2024,191.100006
AMD,20/05/2024,27/5/2024,168.059998
AMZN,20/05/2024,27/5/2024,187.309998
GOOG,20/05/2024,27/5/2024,176.339996
META,20/05/2024,27/5/2024,477.690002
MSFT,20/05/2024,27/5/2024,425.420013
NVDA,20/05/2024,27/5/2024,958.190002
AAPL,19/05/2024,26/5/2024,190.649994
AMD,19/05/2024,26/5/2024,159.690002
AMZN,19/05/2024,26/5/2024,186.720001
GOOG,19/05/2024,26/5/2024,174.046005
META,19/05/2024,26/5/2024,482.5
MSFT,19/05/2024,26/5/2024,423.809998
NVDA,19/05/2024,26/5/2024,948.619995
AAPL,18/05/2024,25/5/2024,188.300003
AMD,18/05/2024,25/5/2024,153.490005
AMZN,18/05/2024,25/5/2024,187.720001
GOOG,18/05/2024,25/5/2024,172.779999
META,18/05/2024,25/5/2024,472.540009
MSFT,18/05/2024,25/5/2024,417.48999
NVDA,18/05/2024,25/5/2024,916.51001
AAPL,17/05/2024,24/5/2024,187.100006
AMD,17/05/2024,24/5/2024,153.330002
AMZN,17/05/2024,24/5/2024,188.309998
GOOG,17/05/2024,24/5/2024,170.949997
META,17/05/2024,24/5/2024,473.350006
MSFT,17/05/2024,24/5/2024,418.350006
NVDA,17/05/2024,24/5/2024,909.97998
AAPL,16/05/2024,23/5/2024,185.089996
AMD,16/05/2024,23/5/2024,156.369995
AMZN,16/05/2024,23/5/2024,189.889999
GOOG,16/05/2024,23/5/2024,171.339996
META,16/05/2024,23/5/2024,477.5
MSFT,16/05/2024,23/5/2024,415.380005
NVDA,16/05/2024,23/5/2024,914.01001
AAPL,15/05/2024,22/5/2024,184.660004
AMD,15/05/2024,22/5/2024,154.089996
AMZN,15/05/2024,22/5/2024,191.699997
GOOG,15/05/2024,22/5/2024,172.440002
META,15/05/2024,22/5/2024,476.079987
MSFT,15/05/2024,22/5/2024,412.720001
NVDA,15/05/2024,22/5/2024,910.719971
AAPL,14/05/2024,21/5/2024,183.070007
AMD,14/05/2024,21/5/2024,155.330002
AMZN,14/05/2024,21/5/2024,188.429993
GOOG,14/05/2024,21/5/2024,171.908997
META,14/05/2024,21/5/2024,475.579987
MSFT,14/05/2024,21/5/2024,412.230011
NVDA,14/05/2024,21/5/2024,911.940002
