STOCK,Date,Open,High,Low,Close,Adj Close,Volume,Close_7_Days
AMZN,26/4/2024,177.800003,180.820007,176.130005,179.619995,179.619995,43919800,186.210007
GOOG,26/4/2024,175.990005,176.419998,171.399994,173.690002,173.690002,56500800,168.990005
AAPL,26/4/2024,169.880005,171.339996,169.179993,169.300003,169.070679,44838400,183.380005
META,26/4/2024,441.459991,446.440002,431.959991,443.290009,443.290009,32691400,451.959991
AMD,25/4/2024,149.149994,155.139999,146.75,153.759995,153.759995,41471400,146.160004
NVDA,25/4/2024,788.679993,833.22998,782.22998,826.320007,826.320007,42464100,858.169983
MSFT,25/4/2024,394.029999,399.890015,388.029999,399.040009,398.321533,40586500,397.839996
AMZN,25/4/2024,169.679993,173.919998,166.320007,173.669998,173.669998,49249400,184.720001
GOOG,25/4/2024,153.360001,158.279999,152.768005,157.949997,157.949997,36197800,168.460007
AAPL,25/4/2024,169.529999,170.610001,168.149994,169.889999,169.659882,50558300,173.029999
META,25/4/2024,421.399994,445.769989,414.5,441.380005,441.380005,82890700,441.679993
AMD,24/4/2024,156.559998,157.660004,150.630005,151.740005,151.740005,43412600,144.270004
NVDA,24/4/2024,839.5,840.820007,791.830017,796.77002,796.77002,51220800,830.409973
MSFT,24/4/2024,409.559998,412.470001,406.779999,409.059998,408.323486,15065300,394.940002
AMZN,24/4/2024,179.940002,180.320007,176.179993,176.589996,176.589996,34185100,179
GOOG,24/4/2024,159.089996,161.389999,158.820007,161.100006,161.100006,19485700,165.570007
AAPL,24/4/2024,166.539993,169.300003,166.210007,169.020004,168.791061,48251800,169.300003
META,24/4/2024,508.059998,510,484.579987,493.5,493.5,37772700,439.190002
AMD,23/4/2024,151.649994,153.5,150.350006,152.270004,152.270004,46051900,158.380005
NVDA,23/4/2024,807.690002,827.690002,802.640015,824.22998,824.22998,43855900,864.02002
MSFT,23/4/2024,404.23999,408.200012,403.059998,407.570007,406.836182,15734500,389.329987
AMZN,23/4/2024,178.080002,179.929993,175.979996,179.539993,179.539993,37046500,175
GOOG,23/4/2024,158.589996,160.479996,157.964996,159.919998,159.919998,16115400,164.639999
AAPL,23/4/2024,165.350006,167.050003,164.919998,166.899994,166.67392,49537800,170.330002
META,23/4/2024,491.25,498.76001,488.970001,496.100006,496.100006,15079200,430.170013
AMD,22/4/2024,148.149994,149.889999,145.630005,148.639999,148.639999,49397000,160.199997
NVDA,22/4/2024,781.039978,800.72998,764,795.179993,795.179993,59634100,877.570007
MSFT,22/4/2024,400.079987,402.850006,395.75,400.959991,400.238068,20286900,402.25
AMZN,22/4/2024,176.940002,178.869995,174.559998,177.229996,177.229996,37924900,180.960007
GOOG,22/4/2024,156.009995,159.184998,155.660004,157.949997,157.949997,17243900,167.899994
AAPL,22/4/2024,165.520004,167.259995,164.770004,165.839996,165.615356,48116400,173.5
META,22/4/2024,489.720001,492.01001,473.399994,481.730011,481.730011,17271100,432.619995
AMD,19/4/2024,151.589996,154.25,145.289993,146.639999,146.639999,71232500,157.399994
NVDA,19/4/2024,831.5,843.23999,756.059998,762,762,87190500,877.349976
MSFT,19/4/2024,404.029999,405.480011,397.769989,399.119995,398.401398,30276500,406.320007
AMZN,19/4/2024,178.740005,179,173.440002,174.630005,174.630005,55950000,179.619995
GOOG,19/4/2024,157.75,157.990005,153.910004,155.720001,155.720001,20063900,173.690002
AAPL,19/4/2024,166.210007,166.399994,164.080002,165,164.776505,67772100,169.300003
META,19/4/2024,502.799988,502.799988,475.730011,481.070007,481.070007,25111000,443.290009
AMD,18/4/2024,155.509995,156.960007,152.320007,155.080002,155.080002,52669800,153.759995
NVDA,18/4/2024,849.700012,861.900024,824.02002,846.710022,846.710022,44726000,826.320007
MSFT,18/4/2024,410.630005,411.890015,403.950012,404.269989,403.542114,21029900,399.040009
AMZN,18/4/2024,181.470001,182.389999,178.649994,179.220001,179.220001,30723800,173.669998
GOOG,18/4/2024,156.925003,158.485001,156.210007,157.460007,157.460007,14016100,157.949997
AAPL,18/4/2024,168.029999,168.639999,166.550003,167.039993,166.813736,43122900,169.889999
META,18/4/2024,499.820007,512.210022,499.040009,501.799988,501.799988,14808700,441.380005
AMD,17/4/2024,163.970001,164.449997,153.880005,154.020004,154.020004,75909000,151.740005
NVDA,17/4/2024,883.400024,887.75,839.5,840.349976,840.349976,49540000,796.77002
MSFT,17/4/2024,417.25,418.880005,410.329987,411.839996,411.09848,15855500,409.059998
AMZN,17/4/2024,184.309998,184.570007,179.820007,181.279999,181.279999,31359700,176.589996
GOOG,17/4/2024,157.190002,158.681,156.134995,156.880005,156.880005,16237800,161.100006
AAPL,17/4/2024,169.610001,170.649994,168,168,167.772446,50901200,169.020004
META,17/4/2024,503.100006,503.160004,487.140015,494.170013,494.170013,12193700,493.5
AMD,16/4/2024,162.279999,164.880005,161.669998,163.460007,163.460007,55302100,152.270004
NVDA,16/4/2024,864.330017,881.179993,860.640015,874.150024,874.150024,37045300,824.22998
MSFT,16/4/2024,414.570007,418.399994,413.730011,414.579987,413.833557,16765600,407.570007
AMZN,16/4/2024,183.270004,184.830002,182.259995,183.320007,183.320007,32891300,179.539993
GOOG,16/4/2024,155.639999,157.229996,155.050003,156,156,15413200,159.919998
AAPL,16/4/2024,171.75,173.759995,168.270004,169.380005,169.150574,73711200,166.899994
META,16/4/2024,498.109985,504.769989,497.109985,499.76001,499.76001,9847900,496.100006
AMD,15/4/2024,164.429993,164.440002,158.759995,160.320007,160.320007,61461200,148.639999
NVDA,15/4/2024,890.97998,906.130005,859.289978,860.01001,860.01001,44307700,795.179993
MSFT,15/4/2024,426.600006,426.820007,413.429993,413.640015,412.895264,20273500,400.959991
AMZN,15/4/2024,187.429993,188.690002,183,183.619995,183.619995,48052400,177.229996
GOOG,15/4/2024,160.279999,160.830002,156.149994,156.330002,156.330002,21140900,157.949997
AAPL,15/4/2024,175.360001,176.630005,172.5,172.690002,172.456085,73531800,165.839996
META,15/4/2024,516.719971,518.530029,497.279999,500.230011,500.230011,13512900,481.730011
AMD,12/4/2024,164.529999,165.699997,161.820007,163.279999,163.279999,63334200,146.639999
NVDA,12/4/2024,896.98999,901.75,875.299988,881.859985,881.859985,42488900,762
MSFT,12/4/2024,424.049988,425.179993,419.769989,421.899994,421.140381,19232100,399.119995
AMZN,12/4/2024,187.720001,188.380005,185.080002,186.130005,186.130005,38554300,174.630005
GOOG,12/4/2024,159.404999,161.699997,158.600006,159.190002,159.190002,16968200,155.720001
AAPL,12/4/2024,174.259995,178.360001,174.210007,176.550003,176.310867,101593300,165
META,12/4/2024,517.75,520.190002,509.329987,511.899994,511.899994,11944900,481.070007
AMD,11/4/2024,167.550003,170.949997,166.550003,170.5,170.5,48994500,155.080002
NVDA,11/4/2024,874.200012,907.390015,869.26001,906.159973,906.159973,43163700,846.710022
MSFT,11/4/2024,425.820007,429.369995,422.359985,427.929993,427.159515,17966400,404.269989
AMZN,11/4/2024,186.740005,189.770004,185.509995,189.050003,189.050003,40020700,179.220001
GOOG,11/4/2024,158.339996,161.119995,157.929993,160.789993,160.789993,17841700,157.460007
AAPL,11/4/2024,168.339996,175.460007,168.160004,175.039993,174.802902,91070300,167.039993
META,11/4/2024,521.109985,523.859985,517.289978,523.159973,523.159973,10369500,501.799988
AMD,10/4/2024,166.710007,169.779999,164,167.139999,167.139999,59600000,154.020004
NVDA,10/4/2024,839.26001,874,837.090027,870.390015,870.390015,43192900,840.349976
MSFT,10/4/2024,422.190002,424.029999,419.700012,423.26001,422.497925,16216600,411.839996
AMZN,10/4/2024,182.770004,186.270004,182.669998,185.949997,185.949997,35879200,181.279999
GOOG,10/4/2024,157.880005,158.160004,156.199997,157.660004,157.660004,16339200,156.880005
AAPL,10/4/2024,168.800003,169.089996,167.110001,167.779999,167.552734,49709300,168
META,10/4/2024,509.290009,522.559998,505.799988,519.830017,519.830017,11418500,494.170013
AMD,9/4/2024,170.210007,171.600006,167.289993,170.779999,170.779999,42928000,163.460007
NVDA,9/4/2024,874.419983,876.349976,830.219971,853.539978,853.539978,50354700,874.150024
MSFT,9/4/2024,426.440002,427.73999,421.619995,426.279999,425.512482,12512300,414.579987
AMZN,9/4/2024,187.240005,187.339996,184.199997,185.669998,185.669998,36546900,183.320007
GOOG,9/4/2024,157.350006,159.889999,156.639999,158.139999,158.139999,21538100,156
AAPL,9/4/2024,168.699997,170.080002,168.350006,169.669998,169.44017,42451200,169.380005
META,9/4/2024,522.22998,525.869995,506.73999,516.900024,516.900024,10881400,499.76001
AMD,8/4/2024,168.199997,171.660004,166.820007,169.899994,169.899994,43997500,160.320007
NVDA,8/4/2024,887,888.299988,867.320007,871.330017,871.330017,28322000,860.01001
MSFT,8/4/2024,425.170013,427.279999,423.299988,424.589996,423.825531,14272400,413.640015
AMZN,8/4/2024,186.899994,187.289993,184.809998,185.190002,185.190002,39221300,183.619995
GOOG,8/4/2024,154.014999,156.654999,153.990005,156.139999,156.139999,16641500,156.330002
AAPL,8/4/2024,169.029999,169.199997,168.240005,168.449997,168.221832,37425500,172.690002
META,8/4/2024,529.280029,531.48999,518.890015,519.25,519.25,13260600,500.230011
AMD,5/4/2024,168.100006,172.690002,165.580002,170.419998,170.419998,66025200,163.279999
NVDA,5/4/2024,868.659973,884.809998,859.26001,880.080017,880.080017,39885700,881.859985
MSFT,5/4/2024,420.01001,426.51001,418.320007,425.519989,424.753845,16544300,421.899994
AMZN,5/4/2024,182.380005,186.270004,181.970001,185.070007,185.070007,42335200,186.130005
GOOG,5/4/2024,151.679993,154.839996,151.080994,153.940002,153.940002,16289800,159.190002
AAPL,5/4/2024,169.589996,170.389999,168.949997,169.580002,169.350296,42055200,176.550003
META,5/4/2024,516.859985,530.700012,514.409973,527.340027,527.340027,19242000,511.899994
AMD,4/4/2024,182.919998,183.020004,165.649994,165.830002,165.830002,88280000,170.5
NVDA,4/4/2024,904.059998,906.340027,858.799988,859.049988,859.049988,43496500,906.159973
MSFT,4/4/2024,424.98999,428.670013,417.570007,417.880005,417.127625,19370900,427.929993
AMZN,4/4/2024,184,185.100006,180,180,180,41624300,189.050003
GOOG,4/4/2024,155.080002,156.179993,151.880005,151.940002,151.940002,24184800,160.789993
AAPL,4/4/2024,170.289993,171.919998,168.820007,168.820007,168.591339,53704400,175.039993
META,4/4/2024,516.419983,530,510.579987,510.920013,510.920013,26476300,523.159973
AMD,3/4/2024,177.539993,182.050003,176.699997,180.770004,180.770004,49835100,167.139999
NVDA,3/4/2024,884.840027,903.73999,884,889.640015,889.640015,37006700,870.390015
MSFT,3/4/2024,419.730011,423.26001,419.089996,420.450012,419.692993,16502300,423.26001
AMZN,3/4/2024,179.899994,182.869995,179.800003,182.410004,182.410004,31046600,185.949997
GOOG,3/4/2024,154.919998,156.550003,154.132004,156.369995,156.369995,17266200,157.660004
AAPL,3/4/2024,168.789993,170.679993,168.580002,169.649994,169.420197,47691700,167.779999
META,3/4/2024,498.929993,507.23999,498.75,506.73999,506.73999,12099200,519.830017
AMD,2/4/2024,179.470001,180.100006,174.830002,178.699997,178.699997,61598800,170.779999
NVDA,2/4/2024,884.47998,900.940002,876.200012,894.52002,894.52002,43306400,853.539978
MSFT,2/4/2024,420.109985,422.380005,417.839996,421.440002,420.681213,17912000,426.279999
AMZN,2/4/2024,179.070007,180.789993,178.380005,180.690002,180.690002,32611500,185.669998
GOOG,2/4/2024,154.75,155.990005,153.460007,155.869995,155.869995,17598100,158.139999
AAPL,2/4/2024,169.080002,169.339996,168.229996,168.839996,168.611298,49329500,169.669998
META,2/4/2024,485.100006,497.529999,484.649994,497.369995,497.369995,11081000,516.900024
AMD,1/4/2024,180.100006,187.240005,179.899994,183.339996,183.339996,74299900,169.899994
NVDA,1/4/2024,902.98999,922.25,892.039978,903.630005,903.630005,45244100,871.330017
MSFT,1/4/2024,423.950012,427.890015,422.220001,424.570007,423.805573,16316000,424.589996
AMZN,1/4/2024,180.789993,183,179.949997,180.970001,180.970001,29174500,185.190002
GOOG,1/4/2024,151.830002,157,151.649994,156.5,156.5,24469800,156.139999
AAPL,1/4/2024,171.190002,171.25,169.479996,170.029999,169.799698,46240500,168.449997
META,1/4/2024,487.200012,497.429993,481.779999,491.350006,491.350006,9247000,519.25
AMD,28/3/2024,179.470001,183.399994,178.300003,180.490005,180.490005,57628600,165.830002
NVDA,28/3/2024,900,913,891.929993,903.559998,903.559998,43521200,859.049988
MSFT,28/3/2024,420.959991,421.869995,419.119995,420.720001,419.962494,21871200,417.880005
AMZN,28/3/2024,180.169998,181.699997,179.259995,180.380005,180.380005,38051600,180
GOOG,28/3/2024,152,152.669998,151.330002,152.259995,152.259995,21105600,151.940002
AAPL,28/3/2024,171.75,172.229996,170.509995,171.479996,171.247726,65672700,168.820007
META,28/3/2024,492.839996,492.890015,485.149994,485.579987,485.579987,15212800,510.920013
AMD,27/3/2024,179.960007,181.229996,175.399994,179.589996,179.589996,55685600,180.770004
NVDA,27/3/2024,931.119995,932.400024,891.22998,902.5,902.5,58606700,889.640015
MSFT,27/3/2024,424.440002,424.450012,419.01001,421.429993,420.671204,16705000,420.450012
AMZN,27/3/2024,179.880005,180,177.309998,179.830002,179.830002,33272600,182.410004
GOOG,27/3/2024,152.145004,152.690002,150.130005,151.940002,151.940002,16622000,156.369995
AAPL,27/3/2024,170.410004,173.600006,170.110001,173.309998,173.075241,60273300,169.649994
META,27/3/2024,499.299988,499.890015,488.070007,493.859985,493.859985,9989700,506.73999
AMD,26/3/2024,179.539993,182.600006,176.330002,177.869995,177.869995,65322400,178.699997
NVDA,26/3/2024,958.51001,963.75,925.02002,925.609985,925.609985,51364800,894.52002
MSFT,26/3/2024,425.609985,425.98999,421.350006,421.649994,420.890808,16725600,421.440002
AMZN,26/3/2024,180.149994,180.449997,177.949997,178.300003,178.300003,29659000,180.690002
GOOG,26/3/2024,151.240005,153.199997,151.029999,151.699997,151.699997,19312700,155.869995
AAPL,26/3/2024,170,171.419998,169.580002,169.710007,169.480133,57388400,168.839996
META,26/3/2024,505.130005,510,495.209991,495.890015,495.890015,11205400,497.369995
AMD,25/3/2024,172.899994,182.800003,172,178.630005,178.630005,71935300,183.339996
NVDA,25/3/2024,939.409973,967.659973,935.099976,950.02002,950.02002,55213600,903.630005
MSFT,25/3/2024,425.23999,427.410004,421.609985,422.859985,422.098633,18060500,424.570007
AMZN,25/3/2024,178.009995,180.990005,177.240005,179.710007,179.710007,29815500,180.970001
GOOG,25/3/2024,150.949997,151.455994,148.800003,151.149994,151.149994,15114700,156.5
AAPL,25/3/2024,170.570007,171.940002,169.449997,170.850006,170.618591,54288300,170.029999
META,25/3/2024,505.790009,507.220001,500.23999,503.019989,503.019989,8380600,491.350006
AMD,22/3/2024,177.210007,180.759995,175.050003,179.649994,179.649994,57832100,Nan
NVDA,22/3/2024,911.409973,947.780029,908.340027,942.890015,942.890015,58521500,Nan
MSFT,22/3/2024,429.700012,429.859985,426.070007,428.73999,427.968048,17636500,Nan
AMZN,22/3/2024,177.75,179.259995,176.75,178.869995,178.869995,27964100,Nan
GOOG,22/3/2024,150.240005,152.559998,150.089996,151.770004,151.770004,19226300,Nan
